WORLDWIDE RIG COUNT,,,,,,,,,,
2024,Latin America,Europe,Africa,Middle East,Asia Pacific,Total Intl.,Canada,U.S.,Total World,
Jan,170,122,111,348,214,965,198,621,1784,
Feb,165,114,111,349,219,958,232,623,1813,
Mar,,,,,,,,,,
Apr,,,,,,,,,,
May,,,,,,,,,,
Jun,,,,,,,,,,
Jul,,,,,,,,,,
Aug,,,,,,,,,,
Sep,,,,,,,,,,
Oct,,,,,,,,,,
Nov,,,,,,,,,,
Dec,,,,,,,,,,
Avg.,168,118,111,349,217,962,215,622,1799,
2023,Latin America,Europe,Africa,Middle East,Asia Pacific,Total Intl.,Canada,U.S.,Total World,
Jan,170,117,92,318,204,901,226,772,1899,
Feb,181,111,94,327,202,915,248,758,1921,
Mar,183,118,97,323,209,930,196,753,1879,
Apr,178,120,93,337,219,947,109,752,1808,
May,190,109,94,339,233,965,90,728,1783,
Jun,189,122,101,329,226,967,146,687,1800,
Jul,177,124,102,334,224,961,186,673,1820,
Aug,173,121,109,329,220,952,189,647,1788,
Sep,175,115,105,327,218,940,188,632,1760,
Oct,175,122,111,337,217,962,192,623,1777,
Nov,175,118,120,347,218,978,197,619,1794,
Dec,174,122,109,336,214,955,161,623,1739,
Avg.,178,118,102,332,217,948,177,689,1814,
